IsomericSmiles	CID	MolecularFormula	MolecularWeight	RotatableBondCount	HeavyAtomCount	AtomChiralCount
CCCCCCCCCN(CCCCCCCCC)C(CC1=CC=CC=C1)C(=O)O	142440523	C27H47NO2	417.700	20	30	1
CC.CN(C)C(CC1=CC=CC=C1)C(=O)O	142440522	C13H21NO2	223.310	4	16	1
CCC1=CC=C(C=C1)C(C(=O)O)N2CC[C@H](C2)C	142418893	C15H21NO2	247.330	4	18	2
CC.CC.CC(=O)NC(C1=CC=CC=C1)C(=O)O	142232613	C14H23NO3	253.340	3	18	1
CC.CC(=O)NC(C1=CC=CC=C1)C(=O)O	142232314	C12H17NO3	223.270	3	16	1
CCCN(C(C1=CC=CC=C1)C(=O)O)NC	142231882	C12H18N2O2	222.280	6	16	1
CCN(CCN)C(C1=CC=CC=C1)C(=O)O	142231753	C12H18N2O2	222.280	6	16	1
C1CCN(C1)C(C2=CC=CC=C2)(C3=CC=CC=C3)C(=O)O	142021313	C18H19NO2	281.300	4	21	0
CC.CCCC(=O)NC(C1=CC=CC=C1)C(=O)O	141869047	C14H21NO3	251.320	5	18	1
CCNCCNCCCNCCNC(C1=CC=CC=C1)C(=O)O	141647327	C17H30N4O2	322.400	14	23	1
CCC(C)C1=CC=C(C=C1)C(C(=O)O)N(CC(=O)O)C2CCCCC2	141576300	C20H29NO4	347.400	8	25	2
CCCCCCCCCC(=O)NC(C1=CC=CC=C1)C(=O)O	141550943	C18H27NO3	305.400	11	22	1
CC1CC1N(C)C(C2=CC=CC=C2)C(=O)O.Cl	141544643	C13H18ClNO2	255.740	4	17	3
CN(C)C(C1=CC=CC=C1)C(=O)[O-].[Na+]	141333399	C10H12NNaO2	201.200	3	14	1
C1=CC=C(C=C1)C(C(=O)O)N(C=O)C=O	141322686	C10H9NO4	207.180	3	15	1
[2H]CN(C[2H])C(C1=CC=CC=C1)C(=O)O	141296641	C10H13NO2	181.230	3	13	1
CC(C)C(C(C)C)N(C)C(C1=CC=CC=C1)C(=O)O.Cl	141266538	C16H26ClNO2	299.830	6	20	1
[2H]CN(C(C1=CC=CC=C1)C(=O)O)C(=O)OC(C)(C)C	141254942	C14H19NO4	266.310	5	19	1
C1=CC=C(C=C1)C(C(=O)O)N(CCN(CC(=O)O)CC(=O)O)C(C(=O)O)(O)O	141228126	C16H20N2O10	400.340	12	28	1
CC(C)C1=C(C(=CC=C1)C(C)C)C(C(=O)O)N(C)C.Cl	141173447	C16H26ClNO2	299.830	5	20	1
[2H]CN(C[2H])[C@@H](CC1=CC=CC=C1)C(=O)O	141163528	C11H15NO2	195.250	4	14	1
C1=CC=C(C=C1)C(C(=O)O)N(C(=O)O)C(=O)O	141156757	C10H9NO6	239.180	3	17	1
CCP(CC)C1=CC=C(C=C1)C(C(=O)O)NC	141136612	C13H20NO2P	253.280	6	17	1
CN(C1CCCC1)[C@@H](CC2=CC=CC=C2)C(=O)O	141107770	C15H21NO2	247.330	5	18	1
CCCCCOC(=O)C(C1=CC=CC=C1)[N+](C)(C)C.[Cl-]	140987353	C16H26ClNO2	299.830	8	20	1
C=CC(C=C)(C(=O)O)NC(C1=CC=CC=C1)C(=O)O	140978356	C14H15NO4	261.270	7	19	1
C1CC1N(C2CC2)C(C3=CC=CC=C3)C(=O)O	140308821	C14H17NO2	231.290	5	17	1
CCCCCCCCCCCCOC(=O)C(C1=CC=CC=C1)N(C)C	140080120	C22H37NO2	347.500	15	25	1
CCCCCCCCCCCCCCC(=O)N[C@@H](C1=CC=CC=C1)C(=O)O	140043255	C23H37NO3	375.500	16	27	1
C[N+](C)(C)CC1=CC(=CC=C1)C(C(=O)O)[N+](C)(C)C.[Cl-].[Cl-]	139927016	C15H26Cl2N2O2	337.300	5	21	1
C1C=CC(C=C1)NC(C2=CC=CC=C2)C(=O)O	139901488	C14H15NO2	229.270	4	17	1
CC1=CCC(=CC1)NC(C2=CC=CC=C2)C(=O)O	139901485	C15H17NO2	243.300	4	18	1
CC1C=CC(C=C1)NC(C2=CC=CC=C2)C(=O)O	139901475	C15H17NO2	243.300	4	18	1
C1C=CC=CC1NC(C2=CC=CC=C2)C(=O)O	139901473	C14H15NO2	229.270	4	17	2
COCN[C@H](C1=CC=CC=C1)C(=O)O	139299765	C10H13NO3	195.210	5	14	1
CCCCN(CCCC)C(C1=CC=CC=C1)C(=O)OCC=C	138967676	C19H29NO2	303.400	12	22	1
CCN[C@@H](CN(C)C(C1=CC=CC=C1)C(=O)O)C2=CC=CC=C2	137288167	C19H24N2O2	312.400	8	23	2
COC(=O)C(C1=CC=CC=C1)N(CC=C)CC#C	135078174	C15H17NO2	243.300	7	18	1
CN(C(C1=CC=CC=C1)C(=O)O)C(=S)C2=CC=CC=C2	135051018	C16H15NO2S	285.400	4	20	1
COC(=O)C(C1=CC=CC=C1)N2CC=C(C2)C=C	135005500	C15H17NO2	243.300	5	18	1
CN(C/C=C\C=C)C(C1=CC=CC=C1)C(=O)OC	134994434	C15H19NO2	245.320	7	18	1
[B-][N+](C)(C)C(C1=CC=CC=C1)C(=O)O	134892789	C10H13BNO2	190.030	3	14	1
C[N+]1(CCC=CC1)C(C2=CC=CC=C2)C(=O)OC.[Br-]	134884462	C15H20BrNO2	326.230	4	19	2
COC(=O)C(C1=CC=CC=C1)N(C[CH2-])C[CH2-].[Y]	134859688	C13H17NO2Y-2	308.180	4	17	1
CC(CC=C)N(C(C)CC=C)C(C1=CC=CC=C1)C(=O)OC	134842973	C19H27NO2	301.400	10	22	3
CCN(CCC(=C)S)[C@@H](C1=CC=CC=C1)C(=O)OC	134313003	C15H21NO2S	279.400	8	19	1
CC(C)N(C(C)C)C(CC(=O)O)C1=CC=CC=C1	132244096	C15H23NO2	249.350	6	18	1
CC=C1CN(C(CN1C)C)C(C2=CC=CC=C2)C(=O)O	132219589	C16H22N2O2	274.360	3	20	2
C1C(CN1C(C2=CC=C(C=C2)F)C(=O)O)F	130277638	C11H11F2NO2	227.210	3	16	1
C1C(CN1C(C2=C(C=C(C=C2)F)F)C(=O)O)F	130277306	C11H10F3NO2	245.200	3	17	1
C1CN(C1)C(C2=C(C=C(C=C2)F)F)C(=O)O	130277304	C11H11F2NO2	227.210	3	16	1
C1=CC=C(C=C1)C(C(=O)O)NC(CCCCN)C(=O)O	130205770	C14H20N2O4	280.320	9	20	2
C1=CC=C(C=C1)C(C(=O)O)N[C@@H](CCCCN)C(=O)O	129858595	C14H20N2O4	280.320	9	20	2
CN(C)C(C1=CC=CC=C1)(C(=O)O)P=O	129818872	C10H12NO3P	225.180	3	15	1
C1=CC=C(C=C1)C[C@@H](C(=O)O)N(CC2=CC=CC=C2)CC3=CC=CC=C3.Br	129805446	C23H24BrNO2	426.300	8	27	1
C/C=C\1/CN(C(CN1C)C)C(C2=CC=CC=C2)C(=O)O	129172098	C16H22N2O2	274.360	3	20	2
CNCCN(CC=C)C(C1=CC=CC=C1)C(=O)O	129171818	C14H20N2O2	248.320	8	18	1
C1=CC=C(C=C1)C(C(=O)O)N(CCC(=O)O)C(=O)O	126650108	C12H13NO6	267.230	6	19	1
C1=CC=C(C=C1)C(C(=O)O)N(CC(=O)O)C(=O)O	126650105	C11H11NO6	253.210	5	18	1
CC(C)CCCC(C(=O)O)N(C)CC1=CC=CC=C1	126599507	C16H25NO2	263.370	8	19	1
CC[C@H](C)C(C(=O)O)N(C)CC1=CC=CC=C1	126595966	C14H21NO2	235.320	6	17	2
CN(C(C1=CC=CC=C1)C(=O)O)C(C2=CC=CC=C2)C(=O)O	126584427	C17H17NO4	299.320	6	22	2
CCCC1CCN(C1)C(C2=CC=CC=C2C)C(=O)O	123579975	C16H23NO2	261.360	5	19	2
CN(CC1=CC=CC=C1)C(C2CCCC2)C(=O)O	123349446	C15H21NO2	247.330	5	18	1
C1=CC=C(C=C1)C[C@@H](C(=O)O)N(CC2=CC=CC=C2)C(=O)O	122589193	C17H17NO4	299.320	6	22	1
CCCC(C1=CC=CC=C1)(C(=O)O)N2CCC2	122588067	C14H19NO2	233.310	5	17	1
C1CN(C1)[C@H](C2=CC=CC=C2)C(=O)O	122527533	C11H13NO2	191.230	3	14	1
CN(CC(=O)O)[C@@H](CC1=CC=CC=C1)C(=O)O	122415314	C12H15NO4	237.250	6	17	1
C[C@H](C1=CC=CC=C1)N2[C@@H](C3CCC2C=C3)C(=O)O	121430554	C16H19NO2	257.330	3	19	4
CCCN(C)C(CC1=CC=CC=C1)C(=O)O	121354811	C13H19NO2	221.290	6	16	1
CCN(C)C(CC1=CC=CC=C1)C(=O)O	121354756	C12H17NO2	207.270	5	15	1
CCC(C)N(C)C(CC1=CC=CC=C1)C(=O)O	121354753	C14H21NO2	235.320	6	17	2
CN([C@H](C1=CC=CC=C1)C(=O)O)C(=O)OC	121296412	C11H13NO4	223.220	4	16	1
C[C@H](C1=CC=CC=C1)N2C3CCC(C2C(=O)O)C=C3	118939847	C16H19NO2	257.330	3	19	4
CN(CC1=CC=CC=C1)[C@@H](C2CCCC2)C(=O)O	118415278	C15H21NO2	247.330	5	18	1
CC1CN(C(=C)CN1C(C2=CC=CC=C2)C(=O)O)C	117943447	C15H20N2O2	260.330	3	19	2
CCCCCCCCCCCN(CCCCCCCCC)[C@@H](CC1=CC=CC=C1)C(=O)O	117918444	C29H51NO2	445.700	22	32	1
CCN(C)CC1=CC=C(C=C1)CC(=O)O	105345644	C12H17NO2	207.270	5	15	0
CCCCC(C(=O)O)N(C)CC1=CC=CC=C1	104083016	C14H21NO2	235.320	7	17	1
CCOC(=O)C(C1=CC=CC=C1)N(C)CCO	103873033	C13H19NO3	237.290	7	17	1
C1CN(C1)C(C2=CC=CC=C2)C(=O)O	102206699	C11H13NO2	191.230	3	14	1
CCCCCN[C@@H](C1=CC=CC=C1)C(=O)O	94357514	C13H19NO2	221.290	7	16	1
CCN[C@@H](C1=CC=CC=C1)C(=O)O	92975315	C10H13NO2	179.220	4	13	1
CC(C)(C)N[C@@H](C1=CC=CC=C1)C(=O)O	92171395	C12H17NO2	207.270	4	15	1
CC[N@@+]1([C@@H]([C@@H]2CCC1C=C2)C(=O)O)[C@H](C)C3=CC=CC=C3	91803339	C18H24NO2+	286.400	4	21	5
COCN(C[Si](C)(C)C)C(C1=CC=CC=C1)C(=O)O	91607764	C14H23NO3Si	281.420	7	19	1
COC(=O)C(C1=CC=CC=C1)N(CC(=O)O)C(=O)OC	91602691	C13H15NO6	281.260	7	20	1
CC.CNC(C1=CC=CC=C1)C(=O)O	91535091	C11H17NO2	195.260	3	14	1
CC.CC.CCN(C)C(CC1=CC=C(C=C1)C)C(=O)O	91396386	C17H31NO2	281.400	5	20	1
CC1CN(CCOC1)C(C2=CC=CC=C2)C(=O)O	91384428	C14H19NO3	249.300	3	18	2
C1CN(CCC1(O)P)C(C2=CC=CC=C2)C(=O)O	91336339	C13H18NO3P	267.260	3	18	1
CCC(C)CCC(C(=O)O)N(CC1=CC=CC=C1)C(C)C2=CC=CC=C2	91258887	C23H31NO2	353.500	10	26	3
C[C@H]1CC2=CC=CC=C2C(N1CC(C)(C)C)C(=O)O	91159379	C16H23NO2	261.360	3	19	2
C[Si](C)(C)CNC(C1=CC=CC=C1)C(=O)O	91115938	C12H19NO2Si	237.370	5	16	1
CCCC=C(C1=CC=CC=C1C)C(C(=O)O)N(C)C	91065134	C16H23NO2	261.360	6	19	1
CC(C)C1=C(C(=CC=C1)C(C(=O)O)N(CC(=O)O)CC(=O)O)C(C)C	90992184	C18H25NO6	351.400	9	25	1
CCN(CCC(C)O)C(C1=CC=CC=C1)C(=O)O	90937600	C14H21NO3	251.320	7	18	2
CC=CC=C(C#C)C1CCN(CC1)C(C2=CC=CC=C2)C(=O)O	90854620	C20H23NO2	309.400	6	23	1
CN(C)C(C1=CC=CC2=C1CCC=C2)C(=O)O	90845016	C14H17NO2	231.290	3	17	1
C1CC2CCC(C1)N2C(C3=CC=CC=C3)C(=O)O	90819057	C15H19NO2	245.320	3	18	3
C[C@@H]1CN(C(CN1C)C)C(C2=CC=CC=C2)C(=O)O	90346159	C15H22N2O2	262.350	3	19	3
CC1=CC=C(C=C1)[C@H](C(=O)O)NC	90212490	C10H13NO2	179.220	3	13	1
CC(C)N[C@@H](C1=CC=CC=C1)C(=O)O	90059294	C11H15NO2	193.240	4	14	1
C1CC1N(C2CC2)[C@H](C3=CC=CC=C3)C(=O)O	89918500	C14H17NO2	231.290	5	17	1
CC1CCCN1[C@H](C2=CC=CC=C2)C(=O)O	89656512	C13H17NO2	219.280	3	16	2
CN1CCCCC1(C2=CC=CC=C2)C(=O)O	89651759	C13H17NO2	219.280	2	16	1
CCCCCCCCCCCCN(CCCCCCCCCCCC)C(CC1=CC=CC=C1)C(=O)O	89640554	C33H59NO2	501.800	26	36	1
CC1(CCN(CC1)[C@H](C2=CC=CC=C2)C(=O)O)OC	89514087	C15H21NO3	263.330	4	19	1
CCCCCCCC(=O)N[C@@H](C1=CC=CC=C1)C(=O)O	89486741	C16H23NO3	277.360	9	20	1
CC1=CC=C(C=C1)CN(C(C2=CC=CC=C2)C(=O)O)N=O	88938195	C16H16N2O3	284.310	5	21	1
C1CCN(C(=S)C1)C(C2=CC=CC=C2)C(=O)O.Cl	88853028	C13H16ClNO2S	285.790	3	18	1
CCCCCCCCC/C=C/CCCNC(C1=CC=CC=C1)C(=O)O	88717591	C22H35NO2	345.500	15	25	1
CC[N+](CC)(CC)C(C1=CC=CC=C1)C(=O)O	88052795	C14H22NO2+	236.330	6	17	1
CC[N+](CC)(CC)C(C1=CC=CC=C1)C(=O)[O-]	88052794	C14H21NO2	235.320	5	17	1
CN1[C@@H]([C@H]1C(=O)O)C2=CC=CC=C2	88035599	C10H11NO2	177.200	2	13	2
CN1[C@H]([C@@H]1C(=O)O)C2=CC=CC=C2	88035195	C10H11NO2	177.200	2	13	2
CCC(=C=O)C(C1=CC=CC=C1)(C(=O)O)N(C)CCC2=CC=CC=C2	87815553	C21H23NO3	337.400	8	25	1
CC[N+](CC)(CC)CC1=CC=C(C=C1)CC(=O)O	87306770	C15H24NO2+	250.360	7	18	0
CC/C=C/C/C=C/C/C=C/C/C=C/C/C=C/C/C=C/CCC(=O)NC(C1=CC=CC=C1)C(=O)O	87110555	C30H39NO3	461.600	17	34	1
CC1=CC=C(C=C1)C(C(=O)O)N2CCCCC2.Cl	86688935	C14H20ClNO2	269.770	3	18	1
C1CCN(CC1)C(C2=CC(=CC=C2)F)C(=O)O.Cl	86688931	C13H17ClFNO2	273.730	3	18	1
C[C@@H]1CCCN1[C@H](C2=CC=CC=C2)C(=O)O	86688923	C13H17NO2	219.280	3	16	2
[Li+].CC(=O)CCCCC[C@@H](C(=O)[O-])N(C)CC1=CC=CC=C1	86623171	C17H24LiNO3	297.300	10	22	1
C1CCC(CC1)CCNC(C2=CC=CC=C2)C(=O)O	80399653	C16H23NO2	261.360	6	19	1
CC1CCN(CC1)C(C)(C2=CC=CC=C2)C(=O)O	78969562	C15H21NO2	247.330	3	18	1
CC1CC(CN(C1)C(C2=CC=CC=C2C)C(=O)O)C	77294644	C16H23NO2	261.360	3	19	3
C1=CC=C(C=C1)CCCC(C(=O)O)N(CC2=CC=CC=C2)CC3=CC=CC=C3	77171772	C25H27NO2	373.500	10	28	1
C1=CC=C(C=C1)CCCCC(C(=O)O)N(CC2=CC=CC=C2)CC3=CC=CC=C3	77171736	C26H29NO2	387.500	11	29	1
CC(C)N(C(C)C)C(CC1=CC=CC=C1)C(=O)O	76508835	C15H23NO2	249.350	6	18	1
C1=CC=C(C=C1)C=CC(C(=O)O)NC(C2=CC=CC=C2)C(=O)O	73693145	C18H17NO4	311.300	7	23	2
CC1=CC=CC=C1C(C(=O)O)N(C)CC2CCOCC2	72927436	C16H23NO3	277.360	5	20	1
C1CCN(CC1)C(C2=CC=C(C=C2)F)C(=O)O.Cl	71432486	C13H17ClFNO2	273.730	3	18	1
C1COCCN1C(C2=CC=CC=C2)C(=O)O.Cl	71432425	C12H16ClNO3	257.710	3	17	1
CC=CCC1C[C@H](CN1C(C2=CC=CC=C2)C(=O)O)C	71228650	C17H23NO2	273.370	5	20	3
CCN(CCCCCCCCC(=O)O)CC1=CC=CC=C1	71155412	C18H29NO2	291.400	12	21	0
CCN(CCCCCCC(=O)O)CC1=CC=CC=C1	71155024	C16H25NO2	263.370	10	19	0
CC1(CN(C1)C(C)(C2=CC=CC=C2)C(=O)O)C	71091977	C14H19NO2	233.310	3	17	1
C[C@@H]1CC=CC[C@@H](N1CC2=CC=CC(=C2)CC(=O)O)C	71083393	C17H23NO2	273.370	4	20	2
CC(C)CCC(C(=O)O)N(C)CC1=CC=CC=C1	70837032	C15H23NO2	249.350	7	18	1
CC[C@@H]1CN(C(CN1C)C)C(C2=CC=CC=C2)C(=O)O	70673546	C16H24N2O2	276.370	4	20	3
CCCCCNC(C)(C1=CC=CC=C1)C(=O)O	70591403	C14H21NO2	235.320	7	17	1
C1=CC=C(C=C1)C(C(=O)O)N(CCCl)CCCl	70361040	C12H15Cl2NO2	276.160	7	17	1
CC(C)(C)N([C@@H](CC1=CC=CC=C1)C(=O)O)C(C)(C)C	70305929	C17H27NO2	277.400	6	20	1
C[C@@H](C1=CC=CC=C1)N2CCCC[C@@H]2C(=O)O	70243859	C14H19NO2	233.310	3	17	2
C[C@@H](C1=CC=CC=C1)N2CCCCC2C(=O)O	70243196	C14H19NO2	233.310	3	17	2
C[C@H](C1=CC=CC=C1)N2CCCCC2C(=O)O	70239446	C14H19NO2	233.310	3	17	2
C1=CC=C(C=C1)C(C(=O)O)NCCCCN	70164746	C12H18N2O2	222.280	7	16	1
C1CCC(CC1)[C@](C2=CC=CC=C2)(C(=O)O)N3CCCC3	70132541	C18H25NO2	287.400	4	21	1
CC1=CCN(C(C1)C(=O)O)CC2=CC=CC=C2	70096342	C14H17NO2	231.290	3	17	1
CC1=CC=CC=C1C(C(=O)O)N(C)CC=C	70010052	C13H17NO2	219.280	5	16	1
CC(C1=CC=CC=C1)(C(=O)O)N(C)CC=C	70010051	C13H17NO2	219.280	5	16	1
C1=CC=C(C=C1)C(C(=O)O)NCCCC[C@@H](C(=O)O)N	69998190	C14H20N2O4	280.320	9	20	2
CCCCC1=CC=CC=C1C(C(=O)O)N2CCCCC2	69997047	C17H25NO2	275.400	6	20	1
CCCCC(C1=CC=CC=C1)(C(=O)O)N2CCCCC2	69997043	C17H25NO2	275.400	6	20	1
C[C@@H](C1=CC=CC=C1)N2[C@@H]3CC[C@H]([C@@H]2C(=O)O)C=C3	69798786	C16H19NO2	257.330	3	19	4
C1=CC=C(C=C1)C[C@@H](C(=O)O)N(CC2=CC=CC=C2)CC3=CC=CC=C3.Cl	69745698	C23H24ClNO2	381.900	8	27	1
CCN(CC1=CC=C(C=C1)C2=CC=CC=C2)C(C3=CC=CC=C3)C(=O)O	69718219	C23H23NO2	345.400	7	26	1
CCN(C(C1=CC=CC=C1)C(=O)O)C(=O)OC	69672618	C12H15NO4	237.250	5	17	1
COC(=O)C(C1=CC=CC=C1)N2CCCCC2.Cl	69503579	C14H20ClNO2	269.770	4	18	1
CCC(C)[C@@H](C(=O)O)N(C)CC1=CC=CC=C1	69490146	C14H21NO2	235.320	6	17	2
C1CCN([C@H](C1)C(=O)O)C(C2=CC=CC=C2)C(=O)O	69474811	C14H17NO4	263.290	4	19	2
CC(C)(C)N(CC(=O)O)C(C1=CC=CC=C1)C(=O)O	69416024	C14H19NO4	265.300	6	19	1
C1CCC2=C(C1)C[C@H](N2CC3=CC=CC=C3)C(=O)O	69414502	C16H19NO2	257.330	3	19	1
CCC(C1=CC=CC=C1)(C(=O)O)NC(C)C(=O)O	69399743	C13H17NO4	251.280	6	18	2
CC(C)(C)OC(=O)CN(C(C1=CC=CC=C1)C(=O)O)C(=O)OC	69373525	C16H21NO6	323.340	8	23	1
COC(=O)N(CC(=O)O)C(C1=CC=CC=C1)C(=O)O	69372225	C12H13NO6	267.230	6	19	1
CCOC(=O)C(C1=CC=CC=C1)N2CCC(CC2)CO	69348479	C16H23NO3	277.360	6	20	1
COC(=O)C(C1=CC=CC=C1)N(CC=C)CC2=CC=CC=C2	69336289	C19H21NO2	295.400	8	22	1
CC(=O)CCCCC[C@@H](C(=O)O)N(C)CC1=CC=CC=C1	69322036	C17H25NO3	291.400	10	21	1
CC(C)N(C1CCCCC1)[C@@H](CC2=CC=CC=C2)C(=O)O	69220304	C18H27NO2	289.400	6	21	1
C1CCN(C(C1)C(=O)O)[C@H](C2=CC=CC=C2)C(=O)O	69162442	C14H17NO4	263.290	4	19	2
C[C@H](C1=CC=CC=C1)N2[C@H]3CC[C@@H]([C@H]2C(=O)O)C=C3	69118404	C16H19NO2	257.330	3	19	4
CCCCCCCCCCCCC(C(=O)O)N(C)CC1=CC=CC=C1	68981468	C22H37NO2	347.500	15	25	1
CCCCCCN(CC)[C@@H](CC1=CC=CC=C1)C(=O)O	68969535	C17H27NO2	277.400	10	20	1
CC[C@](C1=CC=CC=C1)(C(=O)O)N[C@@H](C)C(=O)O	68947306	C13H17NO4	251.280	6	18	2
CCCCN(C)[C@@H](CC1=CC=CC=C1)C(=O)O	68881582	C14H21NO2	235.320	7	17	1
CCCCN(C)C(CC1=CC=CC=C1)C(=O)O	68881581	C14H21NO2	235.320	7	17	1
CCN(C(C)C)C(C1=CC=CC=C1)C(=O)OC(C)(C)C	68764521	C17H27NO2	277.400	7	20	1
C1CN(CC1F)C(C2=CC=CC=C2)C(=O)O	68764013	C12H14FNO2	223.240	3	16	2
CCCCCNC(C1=CC=CC(=C1)CC=C)C(=O)O	68737312	C16H23NO2	261.360	9	19	1
CC1=CC=CC=C1C(C(=O)O)N2CCN(CC2)C.Cl	68723630	C14H21ClN2O2	284.780	3	19	1
CN1CCN(CC1)C(C2=CC=CC=C2F)C(=O)O.Cl	68723064	C13H18ClFN2O2	288.740	3	19	1
CCCCOC(=O)N(C)C(C1=CC=CC=C1)C(=O)O	68640593	C14H19NO4	265.300	7	19	1
CCCCCCCN[C@@H](C1=CC=CC=C1)C(=O)O	68629871	C15H23NO2	249.350	9	18	1
COC(=O)C(C1=CC=CC=C1)N2CC=CC2	68545380	C13H15NO2	217.260	4	16	1
CC(C)C[C@H](C(=O)O)N(C)CC1=CC=CC=C1	68489202	C14H21NO2	235.320	6	17	1
CN(CC=C)C(C1=CC=CC=C1)C(=O)O	68138617	C12H15NO2	205.250	5	15	1
CN(C(C1=CC=CC=C1)C(=O)O)N.Cl	68131467	C9H13ClN2O2	216.660	3	14	1
CCCCCCCCCCCCCCCCCCNC(C1=CC=CC=C1)C(=O)O	67926577	C26H45NO2	403.600	20	29	1
C1CN(C=C1)C(C2=CC=CC=C2)C(=O)O	67904811	C12H13NO2	203.240	3	15	1
C1=CC=C(C=C1)C[C@@H](C(=O)O)NC(C2=CC=CC=C2)C(=O)O	67843596	C17H17NO4	299.320	7	22	2
CCCCCC(C(=O)O)N1CC2=CC=CC=C2C=C1	67836311	C16H21NO2	259.340	6	19	1
CCCN(CCC)C(CC1=CC=CC=C1)C(=O)O	67799047	C15H23NO2	249.350	8	18	1
CC(CC1=CC=CC=C1)N[C@H](C2=CC=CC=C2)C(=O)O	67780147	C17H19NO2	269.340	6	20	2
CCC(C1=CC=CC=C1)(C(=O)O)N(CCO)CCO	67745414	C14H21NO4	267.320	8	19	1
CCN([C@H](C1=CC=CC=C1)C(=O)O)C(=O)OC	67681844	C12H15NO4	237.250	5	17	1
CC(=CCN(CC=C(C)C)[C@@H](CC1=CC=CC=C1)C(=O)O)C	67640388	C19H27NO2	301.400	8	22	1
CC(=CCN(CC=C(C)C)C(CC1=CC=CC=C1)C(=O)O)C	67640387	C19H27NO2	301.400	8	22	1
CC1(CCN(CC1)C(C2=CC=CC=C2)C(=O)O)O	67505976	C14H19NO3	249.300	3	18	1
C[C@@H]1C[C@@H](CN(C1)C(C2=CC=CC=C2C)C(=O)O)C	67451559	C16H23NO2	261.360	3	19	3
CN(C)[C@@H](C1=CC=CC=C1)C(=O)O.Cl	67450934	C10H14ClNO2	215.670	3	14	1
CC(C)(C)OC(=O)C(C1=CC=CC=C1)N2CCCC2	67450894	C16H23NO2	261.360	5	19	1
CCC1=CC=CC=C1C(C(=O)O)N(C)C.Cl	67448583	C12H18ClNO2	243.730	4	16	1
C1=CC=C(C=C1)CN([C@@H](C2=CC=CC=C2)C(=O)O)C(=O)O	67423859	C16H15NO4	285.290	5	21	1
CC(C(=O)O)N[C@@H](C1=CC=CC=C1)C(=O)O	67422189	C11H13NO4	223.220	5	16	2
CC1=CC=CC=C1[C@@](C)(C(=O)O)N2CCCCC2	67286717	C15H21NO2	247.330	3	18	1
CC[C@](C1=CC=CC=C1)(C(=O)O)N2CCCCC2	67286716	C15H21NO2	247.330	4	18	1
CC1=CC=CC=C1[C@](C)(C(=O)O)N2CCCCC2	67286389	C15H21NO2	247.330	3	18	1
CC[C@@](C1=CC=CC=C1)(C(=O)O)N2CCCCC2	67286386	C15H21NO2	247.330	4	18	1
